year	month	stream	site	wtemp	pH	conductivity	depth	flow	nh4	no3	season	urban.rural.ref	stream_order	richness	shannon.H
2014	4_July	PT	PTD	22.9	7.82	326.2	0.165	0.5	0.079	0.448	late	urban	3	2	1.320888343
2014	4_July	PT	PTU	19.7	8	177	0.15	0.1	0.066	0.042	late	rural	2	10	1.282231289
2014	4_July	SC	SCD	21.7	7.65	158.5	0.152	0.5	0.072	0.022	late	reference	3	17	0.562335145
2014	4_July	SC	SCU	22.1	7.8	155.5	0.171	0.3	0.066	0.042	late	reference	3	15	1.011600912
2014	4_July	TB	TBD	19.6	7.76	86.2	0.08	0.4	0.057	0.275	late	reference	3	11	1.632630927
2014	4_July	TB	TBU	17.6	7.64	106.24	0.055	0.3	0.059	0.238	late	reference	2	15	2.176185662
2014	5_August	CC	CCD	23.6	8.61	197.5	0.11	0.1	0.038	0.008	late	urban	4	12	1.992198018
2014	5_August	CC	CCU	21.7	7.93	118.1	0.22	0.3	0.03	0.078	late	rural	3	22	2.025452406
2014	5_August	FH	FHD	23.9	8.22	720	0.075	0.3	0.077	0.197	late	urban	2	1	0
2014	5_August	FH	FHU	20.3	7.47	600	0.105	0.1	0.049	0.309	late	rural	2	5	1.098612289
2014	5_August	LC	LCD	20.6	7.93	679	0.095	0.2	0.031	0.221	late	urban	3	4	1.33217904
2014	5_August	LC	LCU	21.8	8.08	233.5	0.09	0.1	0.012	0.008	late	rural	2	5	0.686961577
2014	5_August	PC	PCD	17.8	7.17	628	0.07	0.1	0.033	0.18	late	urban	2	7	2.146723324
2014	5_August	PC	PCU	24.3	8.5	323.2	0.04	0.1	0.014	0.043	late	rural	2	5	1.410513557
2014	5_August	PT	PTD	19.9	6.97	513	0.065	0.1	0.036	0.461	late	urban	3	0	1.33217904
2014	5_August	PT	PTU	18.6	6.84	143.5	0.13	0.1	0.03	0.108	late	rural	2	8	1.149059697
2014	5_August	SC	SCD	23.2	7.19	191.2	0.095	0.3	0.021	0.005	late	reference	3	18	0
2014	5_August	SC	SCU	22.4	7.38	186.2	0.1	0.4	0.017	0.018	late	reference	3	10	1.732867951
2014	5_August	TB	TBD	19.1	6.78	96.1	0.075	0.3	0.054	0.01	late	reference	3	17	1.972246979
2014	5_August	TB	TBU	14.9	6.97	99.8	0.07	0.1	0.044	0.143	late	reference	2	11	1.517106397
2014	6_September	CC	CCD	18.7	5.67	144.4	0.07	0.1	0.014	0	late	urban	4	8	1.747868097
2014	6_September	CC	CCU	16.2	5.98	95.1	0.195	0.5	0.031	0.087	late	rural	3	10	1.906154747
2014	6_September	FH	FHD	18.5	7.78	654	0.055	0.1	0.004	0.225	late	urban	2	6	1.242453325
2014	6_September	FH	FHU	15.5	7.82	564	0.11	0.1	0.006	0.291	late	rural	2	2	0.693147181
2014	6_September	LC	LCD	16.6	8	287.8	0.1	0.5	0.036	0.234	late	urban	3	7	1.33217904
2014	6_September	LC	LCU	15.1	7.28	188.3	0.12	0.4	0.035	0.083	late	rural	2	9	1.487816716
2014	6_September	PC	PCD	24.1	9.41	546	0.04	0.1	0.021	0.147	late	urban	2	0	1.859237993
2014	6_September	PC	PCU	21.7	8.8	325.7	0.03	0.1	0.04	0.333	late	rural	2	7	1.653424121
2014	6_September	PT	PTD	16.1	6.66	332.2	0.1	0.2	0.034	0.532	late	urban	3	2	0
2014	6_September	PT	PTU	14.6	7.26	144.7	0.11	0.2	0.04	0.154	late	rural	2	13	1.424129917
2014	6_September	SC	SCD	18.1	6.25	167.9	0.05	0.1	0.033	0	late	reference	3	20	0.693147181
2014	6_September	SC	SCU	20	7.01	158.1	0.15	0.1	0.04	0.005	late	reference	3	14	1.925408165
2014	6_September	TB	TBD	18.8	5.6	94.7	0.05	0.1	0	0.006	late	reference	3	19	1.904243091
2014	6_September	TB	TBU	18.2	5.98	115.9	0.08	0.1	0.04	0.063	late	reference	2	6	1.33217904
2015	1_April	CC	CCD	13.2	7.04	96.8	0.14	NA	0.001614	0.30957	early	urban	4	9	1.691559164
2015	1_April	CC	CCU	10.2	6.29	57.9	0.47	NA	0.025742	0.2522	early	rural	3	16	1.853199448
2015	1_April	FH	FHD	5.2	5.4	192.5	0.25	NA	0.011142	0.248039	early	urban	2	7	1.686570031
2015	1_April	FH	FHU	4.3	6.3	126.6	0.2	NA	0.006139	0.009958	early	rural	2	10	1.288576658
2015	1_April	LC	LCD	14.5	7.6	266.1	NA	NA	0.011905	0.320522	early	urban	3	NA	0
2015	1_April	LC	LCU	14.7	7.33	143.6	0.205	NA	0.002292	0	early	rural	2	3	1.004242473
2015	1_April	PC	PCD	4.2	7.37	119.5	0.27	NA	0.008262	0.414222	early	urban	2	11	2.14474474
2015	1_April	PC	PCU	4.1	7.56	99.6	0.28	NA	0.013471	0.302829	early	rural	2	5	2.396134683
2015	1_April	PT	PTD	11.9	6.88	171.6	0.24	NA	0.010347	0.381819	early	urban	3	0	1.998239919
2015	1_April	PT	PTU	11.9	7.46	106	NA	NA	0.014667	0.215073	early	rural	2	10	1.522955068
2015	1_April	SC	SCD	8.8	6.07	79.6	0.38	NA	0.00738	0.225902	early	reference	3	14	0
2015	1_April	SC	SCU	9.2	6.14	80.7	0.38	NA	0.002793	0.225393	early	reference	3	18	2.062979596
2015	1_April	TB	TBD	7.9	4.4	53.1	0.245	NA	0.001828	0.335104	early	reference	3	14	2.16313944
2015	1_April	TB	TBU	7.9	5.46	52	NA	NA	0.006701	0.588647	early	reference	2	8	2.014035524
2015	2_May	CC	CCD	13.7	5.36	140.8	0.295	NA	0	0.011032	early	urban	4	10	2.099856143
2015	2_May	CC	CCU	13.6	6.18	81.2	0.231	NA	0.00584	0.176611	early	rural	3	16	2.228454217
2015	2_May	FH	FHD	14.4	8.41	597	0.07	NA	0.0406	0.007971	early	urban	2	8	1.272539992
2015	2_May	FH	FHU	13.6	7.94	449.5	0.108	NA	0.010807	0.09742	early	rural	2	10	1.701624981
2015	2_May	LC	LCD	14.1	7.68	585	0.295	NA	0.035198	0.363985	early	urban	3	3	0.916464886
2015	2_May	LC	LCU	13.2	7.5	198.3	0.13	NA	0.041913	0.031126	early	rural	2	7	1.259200473
2015	2_May	PC	PCD	20.7	7.74	356.9	0.105	NA	0.010976	0.101801	early	urban	2	1	2.263499143
2015	2_May	PC	PCU	17.4	7.4	232.6	0.04	NA	0.006528	0.161896	early	rural	2	11	1.83135355
2015	2_May	PT	PTD	14	7.54	516	0.105	NA	0.013939	0.170426	early	urban	3	4	0
2015	2_May	PT	PTU	12.8	7.64	118.4	0.071	NA	0.013064	0.07644	early	rural	2	13	1.921261737
2015	2_May	SC	SCD	22.1	7.1	147.9	0.1	NA	0.000402	0.008492	early	reference	3	16	0.983087759
2015	2_May	SC	SCU	22.4	7.51	144.9	0.165	NA	0.014348	0.193231	early	reference	3	8	2.236538398
2015	2_May	TB	TBD	19.7	5.42	77.9	0.13	NA	0.000263	0.023693	early	reference	3	15	2.284403186
2015	2_May	TB	TBU	19.5	5.92	97.8	0.09	NA	0.012646	0.200241	early	reference	2	12	2.254051704
2015	3_June	CC	CCD	24.7	7.9	149.6	0.465	NA	0.008194	0.027483	early	urban	4	11	2.101206632
2015	3_June	CC	CCU	22.1	6.2	94.8	0.295	NA	0.009633	0.144547	early	rural	3	14	2.045109568
2015	3_June	FH	FHD	20.5	6.9	333.8	0.13	NA	0.019869	0.251071	early	urban	2	2	0.562335145
