data	group	handler
0.366	X	7D
0.267	X	7D
0.288	X	7D
0.299	X	7D
0.218	X	7D
0.101	X	1A
0.037	X	1A
0.059	X	1A
0.21	X	1A
0.088	X	1A
0.384	3	93C
0.15	3	93C
0.265	3	93C
0.234	3	93C
0.401	3	93C
0.138	3	93C
0.376	3	93C
0.208	3	66D
0.204	3	66D
0.018	3	66D
0.014	3	66D
0.245	3	66D
0.263	2	49E
0.326	2	49E
0.187	2	49E
0.226	2	49E
0.135	2	49E
0.208	2	49E
0.156	2	49E
0.26	2	41F
0.018	2	41F
0.06	2	41F
0.228	2	41F
0.196	2	41F
0.199	2	41F
0.06	2	41F
